date,slot,checked_at,brand_name,goods_no,product_name,purchase_total,daily_sales,normal_price,current_price,sale_rate,daily_estimated_gmv,simple_gmv,page_view_total,daily_page_view_increase,review_count,daily_review_increase,like_count,daily_like_increase,sales_7d,sales_7d_avg_per_day,estimated_gmv_7d,sales_30d,sales_30d_avg_per_day,estimated_gmv_30d,availability,product_url,errors
2026-08-27,0,2026-08-27T10:53:52+09:00,,3037472,,2972,,,,,,,687,,,,,,,,,,,,,https://www.musinsa.com/products/3037472,
2026-08-27,0,2026-08-27T10:53:53+09:00,,3059712,,138,,,,,,,533,,,,,,,,,,,,,https://www.musinsa.com/products/3059712,
2026-08-27,0,2026-08-27T10:53:54+09:00,,3059720,,490,,,,,,,860,,,,,,,,,,,,,https://www.musinsa.com/products/3059720,
2026-08-27,0,2026-08-27T10:54:30+09:00,,3469200,,14383,,,,,,,1356,,,,,,,,,,,,,https://www.musinsa.com/products/3469200,
2026-08-27,0,2026-08-27T10:54:43+09:00,,3521960,,93,,,,,,,644,,,,,,,,,,,,,https://www.musinsa.com/products/3521960,
2026-08-27,0,2026-08-27T10:54:46+09:00,,3539904,,15062,,,,,,,930,,,,,,,,,,,,,https://www.musinsa.com/products/3539904,
2026-08-27,0,2026-08-27T10:56:18+09:00,,4055792,,367,,,,,,,693,,,,,,,,,,,,,https://www.musinsa.com/products/4055792,
2026-08-27,0,2026-08-27T10:56:40+09:00,,4288936,,2917,,,,,,,1720,,,,,,,,,,,,,https://www.musinsa.com/products/4288936,
2026-08-27,0,2026-08-27T10:56:40+09:00,,4288944,,193,,,,,,,808,,,,,,,,,,,,,https://www.musinsa.com/products/4288944,
2026-08-27,0,2026-08-27T10:56:43+09:00,,4288952,,334,,,,,,,550,,,,,,,,,,,,,https://www.musinsa.com/products/4288952,
2026-08-27,0,2026-08-27T10:56:44+09:00,,4308176,,9522,,,,,,,1456,,,,,,,,,,,,,https://www.musinsa.com/products/4308176,
2026-08-27,0,2026-08-27T10:56:44+09:00,,4308184,,991,,,,,,,882,,,,,,,,,,,,,https://www.musinsa.com/products/4308184,
2026-08-27,0,2026-08-27T10:56:44+09:00,,4308192,,168,,,,,,,735,,,,,,,,,,,,,https://www.musinsa.com/products/4308192,
2026-08-27,0,2026-08-27T10:56:49+09:00,,4326528,,115,,,,,,,1064,,,,,,,,,,,,,https://www.musinsa.com/products/4326528,
2026-08-27,0,2026-08-27T10:56:50+09:00,,4326536,,29825,,,,,,,4205,,,,,,,,,,,,,https://www.musinsa.com/products/4326536,
2026-08-27,0,2026-08-27T10:56:52+09:00,,4326544,,1462,,,,,,,326,,,,,,,,,,,,,https://www.musinsa.com/products/4326544,
2026-08-27,0,2026-08-27T10:56:50+09:00,,4326568,,360,,,,,,,960,,,,,,,,,,,,,https://www.musinsa.com/products/4326568,
2026-08-27,0,2026-08-27T10:56:52+09:00,,4335920,,271,,,,,,,415,,,,,,,,,,,,,https://www.musinsa.com/products/4335920,
2026-08-27,0,2026-08-27T10:56:52+09:00,,4335936,,324,,,,,,,474,,,,,,,,,,,,,https://www.musinsa.com/products/4335936,
2026-08-27,0,2026-08-27T10:57:16+09:00,,4408920,,261,,,,,,,423,,,,,,,,,,,,,https://www.musinsa.com/products/4408920,
2026-08-27,0,2026-08-27T10:57:16+09:00,,4408944,,317,,,,,,,615,,,,,,,,,,,,,https://www.musinsa.com/products/4408944,
2026-08-27,0,2026-08-27T10:57:19+09:00,,4421496,,171,,,,,,,573,,,,,,,,,,,,,https://www.musinsa.com/products/4421496,
2026-08-27,0,2026-08-27T10:57:18+09:00,,4421528,,386,,,,,,,387,,,,,,,,,,,,,https://www.musinsa.com/products/4421528,
2026-08-27,0,2026-08-27T10:57:45+09:00,,4522328,,129,,,,,,,282,,,,,,,,,,,,,https://www.musinsa.com/products/4522328,
2026-08-27,0,2026-08-27T10:57:49+09:00,,4567792,,3819,,,,,,,2029,,,,,,,,,,,,,https://www.musinsa.com/products/4567792,
2026-08-27,0,2026-08-27T10:57:59+09:00,,4671544,,327,,,,,,,577,,,,,,,,,,,,,https://www.musinsa.com/products/4671544,
2026-08-27,0,2026-08-27T10:57:59+09:00,,4671560,,4441,,,,,,,2410,,,,,,,,,,,,,https://www.musinsa.com/products/4671560,
2026-08-27,0,2026-08-27T10:58:20+09:00,,4768152,,109,,,,,,,326,,,,,,,,,,,,,https://www.musinsa.com/products/4768152,
2026-08-27,0,2026-08-27T10:58:40+09:00,,4844512,,0,,,,,,,441,,,,,,,,,,,,,https://www.musinsa.com/products/4844512,
2026-08-27,0,2026-08-27T10:58:42+09:00,,4861752,,185,,,,,,,738,,,,,,,,,,,,,https://www.musinsa.com/products/4861752,
2026-08-27,0,2026-08-27T10:58:46+09:00,,4872080,,189,,,,,,,695,,,,,,,,,,,,,https://www.musinsa.com/products/4872080,
2026-08-27,0,2026-08-27T10:58:57+09:00,,4928808,,3535,,,,,,,2380,,,,,,,,,,,,,https://www.musinsa.com/products/4928808,
2026-08-27,0,2026-08-27T10:59:06+09:00,,4950400,,1257,,,,,,,1900,,,,,,,,,,,,,https://www.musinsa.com/products/4950400,
2026-08-27,0,2026-08-27T10:59:16+09:00,,5012376,,304,,,,,,,999,,,,,,,,,,,,,https://www.musinsa.com/products/5012376,
2026-08-27,0,2026-08-27T10:59:21+09:00,,5038648,,99,,,,,,,2299,,,,,,,,,,,,,https://www.musinsa.com/products/5038648,
2026-08-27,0,2026-08-27T10:59:27+09:00,,5063752,,78,,,,,,,666,,,,,,,,,,,,,https://www.musinsa.com/products/5063752,
2026-08-27,0,2026-08-27T11:00:23+09:00,,5276128,,2013,,,,,,,1908,,,,,,,,,,,,,https://www.musinsa.com/products/5276128,
2026-08-27,0,2026-08-27T11:00:26+09:00,,5294624,,0,,,,,,,562,,,,,,,,,,,,,https://www.musinsa.com/products/5294624,
