date,checked_at,brand_name,product_count,daily_baseline_product_count,purchase_total_sum,simple_gmv_sum,daily_sales_sum,daily_estimated_gmv_sum,daily_page_view_increase_sum,daily_review_increase_sum,daily_like_increase_sum,sales_7d_sum,sales_7d_avg_per_day,estimated_gmv_7d,sales_30d_sum,sales_30d_avg_per_day,estimated_gmv_30d,products_with_7d_baseline,products_with_30d_baseline,new_products
2026-08-27,2026-08-27T11:08:08+09:00,(브랜드 미확인),100,0,160265,0,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,1993스튜디오,497,0,206793,10658029950,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,2000아카이브스,300,0,9868,1067103410,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,9999아카이브,194,0,46786,2876464910,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,그루브라임,421,0,509502,9822168840,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,글로니,504,0,68937,3603663560,0,0,0,0,0,,,,,,,0,0,504
2026-08-27,2026-08-27T15:06:16+09:00,길라아카이브,199,0,42036,1676857550,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,넌블랭크,522,0,107110,8737222330,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,노이어,642,0,129086,10021096050,0,0,0,0,0,,,,,,,0,0,642
2026-08-27,2026-08-27T15:06:16+09:00,다이브인,283,0,132850,6316846600,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,더뮤지엄비지터,617,0,14908,941503210,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,더바이닐하우스,465,0,40566,2194343650,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,더블유엠씨,594,0,46707,1612175810,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,던스트,539,0,10632,638988560,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,데꼬로소,207,0,134910,6758570250,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T13:41:08+09:00,데이,3,0,1138,0,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,도프제이슨,233,0,661859,52140485390,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,드로우핏 우먼,768,0,58354,5449263110,0,0,0,0,0,,,,,,,0,0,768
2026-08-27,2026-08-27T15:06:16+09:00,디미트리블랙,530,0,1639041,52774629900,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,락케이크,356,0,114968,6113122210,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,러브이즈트루,831,0,278079,10898274790,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,로우로우,160,0,94917,8395037050,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,로우클래식,256,0,30994,2595746320,0,0,0,0,0,,,,,,,0,0,256
2026-08-27,2026-08-27T15:06:16+09:00,로템버,201,0,86606,5407924170,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,루에브르,293,0,17861,3113064000,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,르아브,174,0,40312,2994542230,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,링서울,479,0,38799,3766877880,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,몰든,159,0,191146,5918206740,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,몽돌,286,0,104707,4995984670,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,무드인사이드,417,0,336788,14997380900,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,무센트,830,0,579896,21312198960,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,미나브,400,0,243379,11096328790,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,바이모노,276,0,15582,486677240,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,바이젝,134,0,166428,6262472750,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,배드블러드,944,0,36149,3864458970,0,0,0,0,0,,,,,,,0,0,944
2026-08-27,2026-08-27T15:06:16+09:00,본투윈,541,0,146742,9010944480,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,브라운브레스,615,0,232155,17005565550,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,브라운야드,776,0,9539,944817300,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,브렌슨,185,0,2699958,70631974200,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,비바라비다,412,0,160876,5409777780,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,세컨모놀로그,382,0,174034,13043120200,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,소버먼트,241,0,655376,32843062400,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,솔트앤초콜릿,517,0,110808,8496828770,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,스컬프터,1085,0,221355,14149053010,0,0,0,0,0,,,,,,,0,0,3
2026-08-27,2026-08-27T15:06:16+09:00,시야쥬,1024,0,27388,2154910200,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,썬러브투어,741,0,36721,2277892010,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,썸웨어버터,1054,0,71601,4898488720,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,아모우,210,0,91032,3873787530,0,0,0,0,0,,,,,,,0,0,210
2026-08-27,2026-08-27T15:06:16+09:00,아웃스탠딩,676,0,455897,30844345000,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,아이돈워너셀,297,0,83945,5782341900,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,어널러코드,74,0,327051,9805982500,0,0,0,0,0,,,,,,,0,0,74
2026-08-27,2026-08-27T15:06:16+09:00,어반드레스,1212,0,1498291,55196004250,0,0,0,0,0,,,,,,,0,0,1212
2026-08-27,2026-08-27T15:06:16+09:00,어반디타입,120,0,265664,10422153450,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,언더오프,804,0,432609,10522149900,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,언탭트 스튜디오,395,0,1271790,41963766790,0,0,0,0,0,,,,,,,0,0,395
2026-08-27,2026-08-27T15:06:16+09:00,에스피오나지,462,0,391558,35693739720,0,0,0,0,0,,,,,,,0,0,460
2026-08-27,2026-08-27T15:06:16+09:00,에이지오디,245,0,241827,7223507850,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,엘무드,444,0,260522,14557836550,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,오도어,90,0,8603,898510320,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,오퍼스 0012,177,0,13688,1104737100,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,와르,175,0,76416,3582477040,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,와이케이,670,0,146182,6503017770,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T15:06:16+09:00,워크온바디오프,268,0,247105,8803443000,0,0,0,0,0,,,,,,,0,0,0
