date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,러브이즈트루,568801,(UNISEX)RE TS CLUTCH BAG(WHITE),0.0,0,8100,8100,8100,0,0,0.0,100.0,1,high,24.01,8,2,none,,33,https://www.musinsa.com/products/568801
2026-09-01,유라고,912993,히트 폴라 티셔츠,0.0,0,25080,25080,25080,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/912993
2026-09-01,에스피오나지,971809,NAVAL Academy Heavyweight Hoodie Grey,0.5,29344,58800,62720,58800,1,3920,6.67,100.0,1,low,48.09,6,1,none,,33,https://www.musinsa.com/products/971809
2026-09-01,낫포너드,1015777,Cargo Jogger Slacks Pants - Black,2.29,68483,29900,29900,29900,0,0,0.0,100.0,1,high,24.09,11,2,none,,33,https://www.musinsa.com/products/1015777
2026-09-01,프리즘웍스,1039137,OG DOUBLE RIB OVERSIZED TEE _ BLACK,0.0,0,28800,28800,32000,1,-3200,-10.0,100.0,1,medium,24.09,7,2,none,,33,https://www.musinsa.com/products/1039137
2026-09-01,카네이테이,1061857,TIGER FLAT POUCH S (OLIVE DRAB) / UPCYCLED,0.0,0,29000,29000,33990,1,-4990,-14.68,100.0,1,medium,24.08,7,2,none,,33,https://www.musinsa.com/products/1061857
2026-09-01,테이크이지,1191521,램스울 크루넥 오버 니트 (베이지),0.39,10533,27000,27000,27000,0,0,0.0,100.0,1,high,24.08,6,2,none,,33,https://www.musinsa.com/products/1191521
2026-09-01,어반드레스,1211169,UNISEX LAUREL OVERSIZED HOODIE,0.0,0,41400,41400,41400,0,0,0.0,100.0,1,low,48.09,6,1,none,,33,https://www.musinsa.com/products/1211169
2026-09-01,러브이즈트루,1315105,SZ LEMON T-SHIRT(NAVY),0.0,0,23210,23210,19110,1,4100,21.45,100.0,1,medium,24.01,8,2,none,,33,https://www.musinsa.com/products/1315105
2026-09-01,모즈모즈,1354977,스탠다드 특양면 반팔티셔츠_블루,0.0,0,35900,35900,35900,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/1354977
2026-09-01,토마스모어,1356705,TI9401 넥타이,2.51,89438,35700,35700,35700,0,0,0.0,100.0,1,high,24.01,13,2,none,,33,https://www.musinsa.com/products/1356705
2026-09-01,러프사이드,1385953,Oversized Sweat Shirt M.Grey,0.0,0,98000,98000,98000,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/1385953
2026-09-01,어반드레스,1412129,MINI LAUREL T-SHIRT - 5COL,1.04,17122,16500,16500,16500,0,0,0.0,100.0,1,high,24.0,10,5,none,,33,https://www.musinsa.com/products/1412129
2026-09-01,제멋,1456417,에디 오버핏 반팔티셔츠 애쉬블루 KJST2189,0.0,0,21900,21900,21900,0,0,0.0,100.0,1,high,24.09,7,2,none,,33,https://www.musinsa.com/products/1456417
2026-09-01,꼼파뇨,1491041,[16수] 실켓 바이오 가먼츠 반팔 머스타드,0.0,0,15600,15600,15600,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/1491041
2026-09-01,모즈모즈,1592417,프론트 자수로고 피그먼트 빅사이즈 오버핏 후드 블루,1.92,18972,9900,9900,9900,0,0,0.0,100.0,1,high,24.09,12,2,none,,33,https://www.musinsa.com/products/1592417
2026-09-01,시야쥬,1664481,SIOT4010 Duck Down Crop PD_Khaki,0.0,0,197000,197000,197000,0,0,0.0,100.0,1,high,24.08,6,2,none,,33,https://www.musinsa.com/products/1664481
2026-09-01,프리즘웍스,1669473,[FWS X SAINTPAIN] BANDANA LINING RIDERS JACKET _ BLUE,0.0,0,109000,109000,109000,0,0,0.0,100.0,1,high,24.09,7,2,none,,33,https://www.musinsa.com/products/1669473
2026-09-01,테이크이지,1736033,램스울 크루넥 오버 니트 (딥그린),0.39,10535,27000,27000,27000,0,0,0.0,100.0,1,high,24.08,6,2,none,,33,https://www.musinsa.com/products/1736033
2026-09-01,가까이 유니언즈,1751585,스피치 후드 그레이,0.0,0,33500,33500,46900,1,-13400,-28.57,100.0,1,medium,24.09,6,2,none,,33,https://www.musinsa.com/products/1751585
2026-09-01,토피,1778401,2WAY 스웻 후드 집업 (OATMEAL),1.13,43726,38544,39150,36650,1,2500,6.82,100.0,1,medium,24.08,7,2,none,,33,https://www.musinsa.com/products/1778401
2026-09-01,테이크이지,1780641,소프트코튼 브이넥 루즈니트(블랙),0.39,10536,27000,27000,27000,0,0,0.0,100.0,1,low,47.99,5,2,none,,33,https://www.musinsa.com/products/1780641
2026-09-01,인사일런스,1799137,울 린넨 워크 자켓 GREY BEIGE,0.0,0,99600,99600,74700,1,24900,33.33,100.0,1,medium,24.08,6,2,none,,33,https://www.musinsa.com/products/1799137
2026-09-01,카네이테이,1802529,MASON TOOL BAG XL (OLIVE DRAB) / UPCYCLED,0.0,0,167300,167300,209120,1,-41820,-20.0,100.0,1,medium,24.08,7,2,none,,33,https://www.musinsa.com/products/1802529
2026-09-01,메종미네드,1803233,SAINT TWO TUCK WIDE PANTS BLACK,6.22,304292,48950,48950,48950,0,0,0.0,100.0,1,low,24.09,13,2,none,,33,https://www.musinsa.com/products/1803233
2026-09-01,브렌슨,1807073,베이직 크루넥 반팔티 (오버핏/트임 선택),0.0,0,12900,12900,12900,0,0,0.0,100.0,1,high,24.0,9,4,none,,33,https://www.musinsa.com/products/1807073
2026-09-01,카네이테이,1904161,TIGER FLAT POUCH S (BLACK) / UPCYCLED,0.0,0,29000,29000,33990,1,-4990,-14.68,100.0,1,medium,24.08,7,2,none,,33,https://www.musinsa.com/products/1904161
2026-09-01,소버먼트,1944609,460G 컷 헤비 피그먼트 티셔츠-미드나잇 블루-,0.48,17702,36600,36600,36600,0,0,0.0,100.0,1,high,24.01,13,2,none,,33,https://www.musinsa.com/products/1944609
2026-09-01,필루미네이트,2096929,오버핏 아치 로고 스웨트 셔츠-8Color,1.45,36269,25000,25000,25000,0,0,0.0,100.0,1,high,24.01,13,2,none,,33,https://www.musinsa.com/products/2096929
2026-09-01,넌블랭크,2101089,세미 오버사이즈 핏 블레이저_DARK BROWN,0.48,53773,111200,111200,111200,0,0,0.0,100.0,1,high,24.01,8,2,none,,33,https://www.musinsa.com/products/2101089
2026-09-01,몰든,2141537,소프트 스웻 쇼츠,0.0,0,24960,24960,31200,1,-6240,-20.0,100.0,1,medium,24.09,8,2,none,,33,https://www.musinsa.com/products/2141537
2026-09-01,엘무드,2157985,하이틴 알파카 베스트 블랙홀,0.0,0,37800,37800,37800,0,0,0.0,100.0,1,high,24.08,6,2,none,,33,https://www.musinsa.com/products/2157985
2026-09-01,어반드레스,2164961,POCKET MINI PLEATS SKIRT BLACK,0.0,0,16920,16920,16920,0,0,0.0,98.72,0,low,24.09,7,1,none,,33,https://www.musinsa.com/products/2164961
2026-09-01,에이치덱스,2231713,메인로고 밸런스 나시,3.92,79893,20400,20400,20400,0,0,0.0,100.0,1,high,24.09,11,2,none,,33,https://www.musinsa.com/products/2231713
2026-09-01,노이어,2235105,오버핏 후드 더플 코트 (브라운),0.0,0,310000,310000,527000,1,-217000,-41.18,100.0,1,medium,24.09,7,2,none,,33,https://www.musinsa.com/products/2235105
2026-09-01,파르티멘토,2238433,오버사이즈 멜톤 더플 롱 코트 블랙,0.0,0,116200,116200,104580,1,11620,11.11,100.0,1,medium,24.08,6,2,none,,33,https://www.musinsa.com/products/2238433
2026-09-01,시그니처,2241953,울니트 글러브 [브라운],0.0,0,17900,17900,17900,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2241953
2026-09-01,가까이 유니언즈,2321761,오버핏 반집업 니트 블랙,0.0,0,39000,39000,39000,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2321761
2026-09-01,레더리,2325729,스퀘어 토트백 [BLACK],6.0,372396,62021,69760,61040,1,8720,14.29,100.0,1,medium,24.09,19,2,none,,33,https://www.musinsa.com/products/2325729
2026-09-01,굿라이프웍스,2335585,이지 와이드 데님 팬츠 라이트 인디고,0.0,0,34860,34860,34860,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2335585
2026-09-01,테이크이지,2359137,솔리드 옥스포드 오버셔츠(라이트그레이),5.65,189168,33500,33500,33500,0,0,0.0,100.0,1,high,24.08,11,2,none,,33,https://www.musinsa.com/products/2359137
2026-09-01,소버먼트,2372705,980G 피그먼트 컷 후드-블루 라벤더-,0.0,0,68400,68400,68400,0,0,0.0,100.0,1,low,24.01,8,2,none,,33,https://www.musinsa.com/products/2372705
2026-09-01,쿠어,2407201,패커블 집업 베스트 (블랙),0.0,0,130500,130500,130500,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2407201
2026-09-01,더블유엠씨,2409889,수피마 에센셜 티셔츠_BEIGE,0.0,0,14850,14850,14850,0,0,0.0,100.0,1,high,24.01,8,2,none,,33,https://www.musinsa.com/products/2409889
2026-09-01,마인드브릿지,2417313,[올데이쿨]스트링 오버핏 반팔 셔츠 - 3color,0.0,0,49900,49900,49900,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2417313
2026-09-01,인사일런스 우먼,2439265,[CALIK] 와이드 버뮤다 데님 BLUE,1.97,196103,99700,99700,99700,0,0,0.0,100.0,1,high,24.09,7,2,none,,33,https://www.musinsa.com/products/2439265
2026-09-01,엘무드,2454241,썬웰 라이크 린넨 세미오버 셔츠 (3 COLOR),0.0,0,39200,39200,30870,1,8330,26.98,100.0,1,medium,24.08,6,2,none,,33,https://www.musinsa.com/products/2454241
2026-09-01,미나브,2477601,코튼모달 미니멀 와플 하프니트 [아이보리],0.0,0,26100,26100,44000,1,-17900,-40.68,100.0,1,medium,24.09,8,2,none,,33,https://www.musinsa.com/products/2477601
2026-09-01,가까이 유니언즈,2499873,린넨 원턱 숏 팬츠 블랙,0.0,0,31200,31200,31200,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2499873
2026-09-01,드로우핏,2510177,포멀릭 리브드 티셔츠 [BLUEGREY],0.0,0,37800,37800,37800,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2510177
2026-09-01,어반드레스,2515361,Daisy Puff Dress BLUE,0.0,0,16980,16980,16980,0,0,0.0,100.0,1,high,24.09,7,2,none,,33,https://www.musinsa.com/products/2515361
2026-09-01,디미트리블랙,2533537,사이드포켓 하프 팬츠_다크그레이,0.0,0,37500,37500,37500,0,0,0.0,100.0,1,high,24.08,6,2,none,,33,https://www.musinsa.com/products/2533537
2026-09-01,제로,2550817,Deep One Tuck Sweat Shorts [Dark Cloud],0.0,0,28800,28800,28800,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2550817
2026-09-01,넌블랭크,2572705,[SAINT YEAR] 세미 오버 핏 셋업 수트_GREY,10.25,1624384,158400,158400,158400,0,0,0.0,100.0,1,low,10.23,31,6,none,,33,https://www.musinsa.com/products/2572705
2026-09-01,와르,2583713,[22SS] P006 린넨 숏츠_퍼플,0.0,0,21600,21600,21600,0,0,0.0,100.0,1,high,24.08,7,2,none,,33,https://www.musinsa.com/products/2583713
2026-09-01,낫포너드,2591073,22 Graphic Printed Cotton Pants - Ivory,0.0,0,39000,39000,39000,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2591073
2026-09-01,솔트앤초콜릿,2611681,포인티드 토 새틴 메탈 힐 펌프스 412211010 (10.5cm/4colors),0.0,0,53400,53400,66750,1,-13350,-20.0,100.0,1,medium,24.08,7,2,none,,33,https://www.musinsa.com/products/2611681
2026-09-01,꼼파뇨,2628193,Cereal Teddy 피그먼트 반팔티 다크블루,0.0,0,32500,32500,25000,1,7500,30.0,100.0,1,medium,24.09,6,2,none,,33,https://www.musinsa.com/products/2628193
2026-09-01,소버먼트,2675105,460G 컷 헤비 피그먼트 티셔츠-내추럴 아이보리-,3.95,144728,36600,36600,36600,0,0,0.0,100.0,1,high,24.01,18,2,none,,33,https://www.musinsa.com/products/2675105
2026-09-01,노매뉴얼,2684321,MRI HOODIE - MELANGE,0.0,0,52800,52800,52800,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2684321
2026-09-01,필루미네이트,2697761,블룸 조거 스웨트 팬츠-멜란지그레이,0.0,0,32000,32000,32000,0,0,0.0,100.0,1,high,24.01,8,2,none,,33,https://www.musinsa.com/products/2697761
2026-09-01,필루미네이트,2712417,투웨이 에센셜 후드 집업-그레이,1.01,32244,31900,31900,31900,0,0,0.0,100.0,1,high,24.01,8,2,none,,33,https://www.musinsa.com/products/2712417
2026-09-01,프리즘웍스,2736993,HEAVY WOOL ROUND CARDIGAN _ OATMEAL,0.0,0,115200,115200,128000,1,-12800,-10.0,100.0,1,medium,24.09,7,2,none,,33,https://www.musinsa.com/products/2736993
2026-09-01,제멋,2741281,헤이즈 오버핏 스웨트셔츠 러싯브라운 KJMT2369,0.0,0,30300,30300,30300,0,0,0.0,100.0,1,high,24.09,7,2,none,,33,https://www.musinsa.com/products/2741281
2026-09-01,모즈모즈,2750689,[SET] 밸런스절개 헤비쭈리 기모 트레이닝세트 블랙,0.0,0,79200,79200,79200,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2750689
2026-09-01,굿라이프웍스,2753505,오버사이즈 옥스포드 원포켓 솔리드 셔츠 그레이,0.0,0,19600,19600,19600,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2753505
2026-09-01,니티드,2757473,코튼 미니멀 라운드 니트 GREEN,0.0,0,49800,49800,24900,1,24900,100.0,100.0,1,medium,24.09,6,2,none,,33,https://www.musinsa.com/products/2757473
2026-09-01,가까이 유니언즈,2763937,맥가이버 맨투맨 그레이,0.0,0,28500,28500,28500,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2763937
2026-09-01,가까이 유니언즈,2765089,와이드 스티치 카펜터 데님 팬츠 블랙,0.0,0,56000,56000,56000,0,0,0.0,100.0,1,high,24.09,6,2,none,,33,https://www.musinsa.com/products/2765089
