date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,러브이즈트루,355482,(BASIC)GLOBE TEE(M),0.0,0,14500,14500,14500,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/355482
2026-09-01,드로우핏,407066,릴렉스드 미니멀 라운드 티셔츠 [BLACK],0.23,6840,29250,29250,29250,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/407066
2026-09-01,프리즘웍스,842010,OG HAWORTH ONE TUCK PANTS _ OLIVE,0.0,0,52200,52200,58000,1,-5800,-10.0,100.0,1,medium,24.09,7,2,none,,26,https://www.musinsa.com/products/842010
2026-09-01,제멋,890522,유스 와이드 카고팬츠 4종 그레이 YHLP2159,0.0,0,39800,39800,39800,0,0,0.0,100.0,1,high,24.09,7,2,none,,26,https://www.musinsa.com/products/890522
2026-09-01,트립르센스,893274,[유니섹스] OVER FIT WINTER CHECK SHIRTS NAVY,0.0,0,27000,27000,27000,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/893274
2026-09-01,제멋,987162,에디 오버핏 반팔티셔츠 블랙 KJST2189,0.0,0,21900,21900,21900,0,0,0.0,100.0,1,high,24.09,7,2,none,,26,https://www.musinsa.com/products/987162
2026-09-01,프리즘웍스,1045018,OG STRIPE SEERSUCKER SHIRT _ GREEN,0.0,0,61200,61200,68000,1,-6800,-10.0,100.0,1,medium,24.09,7,2,none,,26,https://www.musinsa.com/products/1045018
2026-09-01,카네이테이,1061914,LEAF FLAT CARD WALLET (OLIVE DRAB) / UPCYCLED,0.0,0,82850,82850,103560,1,-20710,-20.0,100.0,1,medium,24.08,7,2,none,,26,https://www.musinsa.com/products/1061914
2026-09-01,트립르센스,1139290,EMBROIDERY STITCHES MTM BLACK,0.0,0,32500,32500,32500,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/1139290
2026-09-01,브랜디드,1385626,51004 HISHITOMO COLLECTION MIDDLE BLUE JEANS [RELAX STRAIGHT],0.0,0,117300,117300,117300,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/1385626
2026-09-01,커스텀어클락,1405594,에센셜 오버핏 숏슬리브 티셔츠 파스텔블루,0.0,0,9900,9900,9900,0,0,0.0,100.0,1,high,24.08,6,2,none,,26,https://www.musinsa.com/products/1405594
2026-09-01,브론슨,1437850,10.5 oz USA Cotton Tubular Gusset Tee Indigo,3.33,118989,35700,35700,35700,0,0,0.0,100.0,1,high,24.09,14,2,none,,26,https://www.musinsa.com/products/1437850
2026-09-01,굿라이프웍스,1474586,와이드 썸머 카고 조거 팬츠 카키,0.0,0,19920,19920,19920,0,0,0.0,100.0,1,high,24.09,9,2,none,,26,https://www.musinsa.com/products/1474586
2026-09-01,엘무드,1567130,화란 세미오버 니트 클라우드,0.0,0,44900,44900,44900,0,0,0.0,100.0,1,high,24.08,6,2,none,,26,https://www.musinsa.com/products/1567130
2026-09-01,러브이즈트루,1586586,PO HEART KNIT(SKY BLUE),0.0,0,55930,55930,55930,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/1586586
2026-09-01,모즈모즈,1592538,피그먼트 카고포켓 트레이닝 빅사이즈 조거팬츠 그레이,0.0,0,28720,28720,28720,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/1592538
2026-09-01,러브이즈트루,1594010,PO SHELL PIN(SILVER),0.0,0,22100,22100,22100,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/1594010
2026-09-01,아메스 월드와이드,1602010,BASIC LOGO BEANIE BLACK,0.0,0,18560,18560,23200,1,-4640,-20.0,100.0,1,medium,24.09,6,2,none,,26,https://www.musinsa.com/products/1602010
2026-09-01,인사일런스,1639642,숄카라 코트 KHAKI,0.0,0,144500,144500,130050,1,14450,11.11,100.0,1,medium,24.08,6,2,none,,26,https://www.musinsa.com/products/1639642
2026-09-01,제멋,1733274,로그 오버핏 기모 후드 백오트밀 YHHD2302,0.0,0,39800,39800,39800,0,0,0.0,100.0,1,high,24.09,7,2,none,,26,https://www.musinsa.com/products/1733274
2026-09-01,프리즘웍스,1811226,OG OXFORD OVERSIZED SHIRT _ PURPLE,0.0,0,61200,61200,68000,1,-6800,-10.0,100.0,1,medium,24.09,7,2,none,,26,https://www.musinsa.com/products/1811226
2026-09-01,1993스튜디오,1896154,웨이브 로고 볼캡_화이트,0.0,0,25000,25000,25000,0,0,0.0,100.0,1,high,24.08,6,2,none,,26,https://www.musinsa.com/products/1896154
2026-09-01,제멋,1911514,핀스 오버핏 카라 반팔티 그레이 YHST2354,0.0,0,28900,28900,28900,0,0,0.0,100.0,1,high,24.09,7,2,none,,26,https://www.musinsa.com/products/1911514
2026-09-01,도프제이슨,1964698,미니멀 레이어드 하드레더 벨트,0.0,0,37050,37050,37050,0,0,0.0,100.0,1,high,24.01,8,2,none,,26,https://www.musinsa.com/products/1964698
2026-09-01,가까이 유니언즈,1992410,[16수] 유니버스 버거타운 반팔 티셔츠 크림,0.0,0,27300,27300,27300,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/1992410
2026-09-01,마인드브릿지,2036250,두굿_세미와이드밴딩슬랙스 - 4color MAPT6103,0.0,0,71900,71900,71900,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/2036250
2026-09-01,코드그라피,2037722,CGP 아치 로고 트레이닝 팬츠_그린,0.0,0,41300,41300,39900,1,1400,3.51,100.0,1,medium,24.09,6,2,none,,26,https://www.musinsa.com/products/2037722
2026-09-01,메인부스,2099802,Traveler Oversized Sweater(TEAL GREEN),0.0,0,79900,79900,79900,0,0,0.0,100.0,1,high,24.09,6,2,none,,26,https://www.musinsa.com/products/2099802
2026-09-01,론론,2100698,NCNL HOOD ZIP-UP GREY,0.0,0,62370,62370,43120,1,19250,44.64,100.0,1,medium,24.09,7,2,none,,26,https://www.musinsa.com/products/2100698
