date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,드로우핏,348148,쿨메쉬 레이어드 슬리브리스 [OFFWHITE],0.76,19926,26100,26100,26100,0,0,0.0,100.0,1,high,24.09,6,2,none,,52,https://www.musinsa.com/products/348148
2026-09-01,트립르센스,839796,SLIT POINT STRIPE SHIRTS GREEN,0.0,0,32500,32500,32500,0,0,0.0,100.0,1,high,24.01,8,2,none,,52,https://www.musinsa.com/products/839796
2026-09-01,커스텀어클락,948660,소프트 코튼 크루넥 니트 차콜 COOSKT008CHARCOAL,0.0,0,41300,41300,41300,0,0,0.0,100.0,1,high,24.08,6,2,none,,52,https://www.musinsa.com/products/948660
2026-09-01,프리즘웍스,971508,OG SELVEDGE ANKLE DENIM PANTS _ LIGHT BLUE,0.0,0,88200,88200,98000,1,-9800,-10.0,100.0,1,medium,24.09,7,2,none,,52,https://www.musinsa.com/products/971508
2026-09-01,브랜디드,1014964,1939 SOHO JEANS [CROP STRAIGHT],0.0,0,88200,88200,88200,0,0,0.0,100.0,1,low,24.09,5,2,none,,52,https://www.musinsa.com/products/1014964
2026-09-01,프리즘웍스,1058100,OG PIGMENT DYEING HALF TEE _ PINK,0.0,0,34200,34200,38000,1,-3800,-10.0,100.0,1,low,24.09,6,2,none,,52,https://www.musinsa.com/products/1058100
2026-09-01,로우로우,1210100,스트링 럭색 백팩 976 ep.2 Charcoal,0.53,47031,89240,89240,89240,0,0,0.0,100.0,1,high,24.01,8,2,none,,52,https://www.musinsa.com/products/1210100
2026-09-01,모즈모즈,1354868,백로고유령 오버핏 티셔츠_화이트,0.0,0,35900,35900,35900,0,0,0.0,100.0,1,high,24.09,6,2,none,,52,https://www.musinsa.com/products/1354868
2026-09-01,프리즘웍스,1456116,OG WIDE DENIM PANTS _ LIGHT BLUE,0.0,0,71100,71100,79000,1,-7900,-10.0,100.0,1,medium,24.09,7,2,none,,52,https://www.musinsa.com/products/1456116
2026-09-01,후러브스아트,1495284,[여름원단추가] 유니섹스 세미 와이드 밴딩 슬랙스 아이보리,6.0,145800,24300,24300,24300,0,0,0.0,100.0,1,high,10.26,29,6,none,,52,https://www.musinsa.com/products/1495284
2026-09-01,제멋,1583924,하이 양기모 후드 집업 다크그레이 HJHD2082,0.0,0,41900,41900,41900,0,0,0.0,100.0,1,high,24.09,7,2,none,,52,https://www.musinsa.com/products/1583924
2026-09-01,에스피오나지,1608372,Miller Heavyweight Cardigan Dust,0.0,0,138700,138700,146000,1,-7300,-5.0,100.0,1,medium,24.09,7,2,none,,52,https://www.musinsa.com/products/1608372
2026-09-01,노이어,1638580,썸머울 원 턱 릴렉스 슬랙스 (블랙),0.0,0,71000,71000,63900,1,7100,11.11,100.0,1,medium,24.09,7,2,none,,52,https://www.musinsa.com/products/1638580
2026-09-01,시야쥬,1664052,SIPT7021 Double Weave Long wide SL_Ash beige,0.0,0,77000,77000,77000,0,0,0.0,100.0,1,high,24.08,6,2,none,,52,https://www.musinsa.com/products/1664052
2026-09-01,제로,1807028,Classic Sweat Pants [Khaki],0.0,0,19500,19500,19500,0,0,0.0,100.0,1,low,24.09,5,2,none,,52,https://www.musinsa.com/products/1807028
2026-09-01,쿠어,1885300,수피마 코튼 세미오버핏 티셔츠 (라이트그레이),0.0,0,34200,34200,34200,0,0,0.0,100.0,1,high,24.09,6,2,none,,52,https://www.musinsa.com/products/1885300
