date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,프리즘웍스,424333,EDGAR N-1 DECK JACKET _ OLIVE,0.01,1840,148000,133200,148000,1,-14800,-10.0,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/424333
2026-09-01,쿠어,722573,울 트렌치 코트 (네이비),0.0,0,191200,191200,191200,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/722573
2026-09-01,드로우핏,750541,에센셜 베이직 티셔츠 [SMOKE PINK],0.0,0,16500,16500,16500,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/750541
2026-09-01,제멋,987149,[2PACK] 에디 오버핏 반팔티셔츠 KJST2189,10.06,299890,29800,29800,29800,0,0,0.0,100.0,1,low,10.32,18,5,none,,13,https://www.musinsa.com/products/987149
2026-09-01,트립르센스,1027405,COMFORT NON-COLLAR SKY SHIRTS DARK BLUE,0.0,0,32500,32500,32500,0,0,0.0,100.0,1,high,24.01,8,2,none,,13,https://www.musinsa.com/products/1027405
2026-09-01,쿠어,1327693,베타 핏 데님 팬츠 (미드블루),0.0,0,73800,73800,73800,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/1327693
2026-09-01,브랜디드,1385613,51003 HISHITOMO COLLECTION 1WASH JEANS [RELAX STRAIGHT],1.53,179117,117300,117300,117300,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/1385613
2026-09-01,브론슨,1437773,9oz USA Cotton Tubular Tee White,53.25,1304631,24500,24500,24500,0,0,0.0,100.0,1,high,3.82,58,13,none,,13,https://www.musinsa.com/products/1437773
2026-09-01,와르,1464333,121 밴딩 4부 면 팬츠_블랙,0.0,0,26600,26600,26600,0,0,0.0,100.0,1,high,24.08,7,2,none,,13,https://www.musinsa.com/products/1464333
2026-09-01,모즈모즈,1592461,앞포켓 지퍼 코튼 밴딩 빅사이즈 조거팬츠 블랙,1.64,23021,14067,28900,9900,1,19000,191.92,100.0,1,medium,24.09,6,2,none,,13,https://www.musinsa.com/products/1592461
2026-09-01,파르티멘토,1690701,3M 신슐레이트 보아 플리스 무톤 자켓 베이지,1.22,107573,88400,88400,79560,1,8840,11.11,100.0,1,medium,24.08,6,2,none,,13,https://www.musinsa.com/products/1690701
2026-09-01,수아레,1781581,네이처 싱글 블레이저 베이지,0.0,0,94900,94900,94900,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/1781581
2026-09-01,인사일런스,1830285,더비 슈즈 BLACK,0.0,0,131400,131400,98550,1,32850,33.33,100.0,1,medium,24.08,6,2,none,,13,https://www.musinsa.com/products/1830285
2026-09-01,유니폼브릿지,1906829,oxford bd short shirts blue,0.14,4020,29230,29230,29230,0,0,0.0,100.0,1,low,24.08,6,2,none,,13,https://www.musinsa.com/products/1906829
2026-09-01,프리즘웍스,1957645,OG POPLIN OVERSIZED SHIRT _ WHITE,0.0,0,52200,52200,58000,1,-5800,-10.0,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/1957645
2026-09-01,트립르센스,1962829,마이 퍼피 오버 반팔티_BLUE FONT,0.0,0,21500,21500,21500,0,0,0.0,100.0,1,high,24.01,8,2,none,,13,https://www.musinsa.com/products/1962829
2026-09-01,슈퍼서브,2012621,시그니처 로고 반팔티-화이트,0.0,0,16000,16000,16000,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2012621
2026-09-01,시눈,2100173,FRINGE WRAP SKIRT,0.0,0,52140,52140,52140,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2100173
2026-09-01,프렌다,2114317,ROUND LOGO CREWNECK SWEATSHIRT HEATHER GRAY,0.74,18214,24780,24780,35400,1,-10620,-30.0,100.0,1,medium,24.09,8,2,none,,13,https://www.musinsa.com/products/2114317
2026-09-01,에스피오나지,2161165,Standard Logo Heavyweight Hoodie Grey,0.0,0,62720,62720,58800,1,3920,6.67,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/2161165
2026-09-01,프리즘웍스,2164237,OG CORDUROY SHIRT _ NAVY,0.0,0,70200,70200,78000,1,-7800,-10.0,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/2164237
2026-09-01,에스피오나지,2183757,Dyer Hooded Down Parka Black,0.0,0,295200,295200,295200,0,0,0.0,100.0,1,high,24.09,7,2,none,,13,https://www.musinsa.com/products/2183757
2026-09-01,테이크이지,2183821,코듀로이 라쿠로고 오버후드(네이비),0.0,0,34500,34500,34500,0,0,0.0,100.0,1,high,24.08,6,2,none,,13,https://www.musinsa.com/products/2183821
2026-09-01,브론슨,2198349,USAAF Type A-1 V-neck Mechanics Sweater Black,0.0,0,116100,116100,116100,0,0,0.0,100.0,1,high,24.09,4,2,none,,13,https://www.musinsa.com/products/2198349
2026-09-01,밀로아카이브,2280141,홀리데이 시그니처 볼 캡 [빈티지 블루],1.01,32838,32488,29640,35100,1,-5460,-15.56,100.0,1,medium,24.01,9,2,none,,13,https://www.musinsa.com/products/2280141
2026-09-01,아웃스탠딩,2310669,REVERSE HEAVY HOOD SWEAT_1%OATMEAL,0.14,13479,98000,98000,98000,0,0,0.0,100.0,1,high,24.08,7,2,none,,13,https://www.musinsa.com/products/2310669
2026-09-01,인사일런스,2317965,웨스턴 울 블레이저 CREAM,0.0,0,119400,119400,89550,1,29850,33.33,100.0,1,medium,24.08,6,2,none,,13,https://www.musinsa.com/products/2317965
2026-09-01,와이케이,2328333,말티즈 아카이브 맨투맨 아이보리,0.0,0,54000,54000,54000,0,0,0.0,100.0,1,high,24.01,8,2,none,,13,https://www.musinsa.com/products/2328333
2026-09-01,아웃스탠딩,2349901,CORDUROY COLLAR SHORT JACKET_OLIVE GREEN,7.65,1025956,134100,134100,134100,0,0,0.0,100.0,1,high,24.01,18,6,none,,13,https://www.musinsa.com/products/2349901
2026-09-01,쿠어,2353229,니팅 스트링 벨트 (블랙),0.0,0,44100,44100,44100,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2353229
2026-09-01,넌블랭크,2356045,[SAINT YEAR] 세미 와이드 핏 슬랙스_NAVY,0.0,0,47200,47200,47200,0,0,0.0,100.0,1,low,24.01,7,2,none,,13,https://www.musinsa.com/products/2356045
2026-09-01,유라고,2360525,Clean two-tuck pants,0.0,0,95000,95000,95000,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2360525
2026-09-01,르바,2379981,Raw-denim Crop Jacket,0.0,0,143100,143100,143100,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2379981
2026-09-01,프리즘웍스,2387341,OG HEAVYWEIGHT SWEATSHIRT 002 _ GRAY,1.01,56476,55958,55800,62000,1,-6200,-10.0,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/2387341
2026-09-01,트립르센스,2403341,로우 컬러  바시티 자켓_BLACK,0.0,0,67500,67500,67500,0,0,0.0,100.0,1,high,24.01,8,2,none,,13,https://www.musinsa.com/products/2403341
2026-09-01,테이크이지,2409677,자이언트핏 스톤 카고숏팬츠(블랙),0.0,0,29500,29500,22900,1,6600,28.82,100.0,1,medium,24.08,6,2,none,,13,https://www.musinsa.com/products/2409677
2026-09-01,데케트,2450061,[여름원단]Semi Wide Jeans DCPT003Ivory,0.0,0,23600,23600,23600,0,0,0.0,100.0,1,high,24.09,6,2,none,,13,https://www.musinsa.com/products/2450061
2026-09-01,어반드레스,2526093,Solid Mu shirt IVORY,0.0,0,18640,18640,18640,0,0,0.0,100.0,1,high,24.09,7,2,none,,13,https://www.musinsa.com/products/2526093
2026-09-01,제멋,2547789,비드 숏 스웨트팬츠 4종 네이비 SOSP2420,0.0,0,27400,27400,27400,0,0,0.0,100.0,1,high,24.09,7,2,none,,13,https://www.musinsa.com/products/2547789
2026-09-01,트립르센스,2588493,엘이 로고 썸머 니트 버킷햇_BEIGE,0.0,0,36800,36800,36800,0,0,0.0,100.0,1,high,24.01,8,2,none,,13,https://www.musinsa.com/products/2588493
2026-09-01,트립르센스,2591437,베이직 유넥 실켓 코튼 티셔츠_10 COLOR,1.58,44314,28000,28000,28000,0,0,0.0,100.0,1,high,23.5,13,4,none,,13,https://www.musinsa.com/products/2591437
2026-09-01,노이어,2614349,린넨 레이어드 풀오버 하프 가디건 니트 (그린),0.0,0,49500,49500,44500,1,5000,11.24,100.0,1,medium,24.09,7,2,none,,13,https://www.musinsa.com/products/2614349
2026-09-01,1993스튜디오,2660941,스튜디오 아치 로고 후드_라이트그레이,0.0,0,59900,59900,59900,0,0,0.0,100.0,1,high,24.08,6,2,none,,13,https://www.musinsa.com/products/2660941
2026-09-01,메종미네드,2678989,FUSION RING,4.44,95271,21450,21450,21450,0,0,0.0,100.0,1,high,24.09,14,2,none,,13,https://www.musinsa.com/products/2678989
