date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-01,제멋,306313,제이윈 덤블 기모후드 카키(KHHD0748),0.0,0,34900,34900,34900,0,0,0.0,100.0,1,high,24.09,7,2,none,,9,https://www.musinsa.com/products/306313
2026-09-01,도프제이슨,406537,카우하이드 싱글 자켓,1.01,260417,257640,257640,257640,0,0,0.0,100.0,1,high,24.01,8,2,none,,9,https://www.musinsa.com/products/406537
2026-09-01,제멋,557449,루즈핏 카라티셔츠  아이보리 JKST2066,0.01,277,22300,22300,22300,0,0,0.0,100.0,1,high,24.09,7,2,none,,9,https://www.musinsa.com/products/557449
2026-09-01,메인부스,847753,Jellybean Sweater(RED),0.76,51533,67500,67500,67500,0,0,0.0,100.0,1,high,24.09,6,2,none,,9,https://www.musinsa.com/products/847753
2026-09-01,러브이즈트루,973513,DE VANILLA TEE(WHITE),0.0,0,31420,31420,31420,0,0,0.0,100.0,1,high,24.01,8,2,none,,9,https://www.musinsa.com/products/973513
2026-09-01,프리즘웍스,1022793,OG DOBBY WEAVE SEERSUCKER SHIRT _ WHITE,0.02,1700,68000,61200,68000,1,-6800,-10.0,100.0,1,medium,24.09,7,2,none,,9,https://www.musinsa.com/products/1022793
2026-09-01,도프제이슨,1117577,램스킨 트렌치 코트,0.0,0,429400,429400,429400,0,0,0.0,100.0,1,high,24.01,8,2,none,,9,https://www.musinsa.com/products/1117577
2026-09-01,제로,1142537,Concise Round Neck Cardigan [Charcoal],0.0,0,65000,65000,65000,0,0,0.0,100.0,1,high,24.09,6,2,none,,9,https://www.musinsa.com/products/1142537
2026-09-01,꼼파뇨,1246473,와펜 로고 믹스컬러 스웨터 블루카멜,0.0,0,40150,40150,40150,0,0,0.0,100.0,1,high,24.09,6,2,none,,9,https://www.musinsa.com/products/1246473
2026-09-01,제멋,1291017,리치 오버 MA-1 자켓 블랙 YHJK2269,3.96,276436,69800,69800,69800,0,0,0.0,100.0,1,low,24.09,15,2,none,,9,https://www.musinsa.com/products/1291017
2026-09-01,인사일런스,1581897,콤비네이션 크루넥 니트 BLACK,0.0,0,49000,49000,44100,1,4900,11.11,100.0,1,medium,24.08,6,2,none,,9,https://www.musinsa.com/products/1581897
