date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,history_bucket,product_url
2026-08-27,제멋,282220,제이윈 덤블 기모후드 그레이(KHHD0748),0.0,0,34900,34900,,0,,,41.94,0,low,19.59,2,1,44,https://www.musinsa.com/products/282220
2026-08-27,프리즘웍스,971500,OG SLIM CROP DENIM PANTS _ INDIGO,0.0,0,69000,69000,,0,,,41.93,0,low,19.59,2,1,44,https://www.musinsa.com/products/971500
2026-08-27,제멋,1301164,제이 스웨트 팬츠 그레이 HJLP2278,0.0,0,31900,31900,,0,,,41.92,0,low,19.59,2,1,44,https://www.musinsa.com/products/1301164
2026-08-27,미나브,1357612,20 에센셜 이지 맨투맨 [옐로우그린],0.0,0,26600,26600,,0,,,43.75,0,low,21.5,2,1,44,https://www.musinsa.com/products/1357612
2026-08-27,어반드레스,1606252,드레스 투버튼 더블 오버 블레이저 블랙,0.0,0,76000,76000,,0,,,41.92,0,low,19.59,2,1,44,https://www.musinsa.com/products/1606252
2026-08-27,제멋,1786796,먼츠 생지 데님팬츠 YHLP2337,0.0,0,43900,43900,,0,,,41.91,0,low,19.59,2,1,44,https://www.musinsa.com/products/1786796
2026-08-27,유니온블루,2065708,LAUNDRY SHIRT (LEMON),0.52,30789,59000,59000,,0,,,45.01,0,low,20.7,2,1,44,https://www.musinsa.com/products/2065708
2026-08-27,몰든,2096236,스탠다드 머슬핏 로고 티셔츠,0.0,0,24700,24700,,0,,,43.75,0,low,21.5,2,1,44,https://www.musinsa.com/products/2096236
2026-08-27,인사일런스,2100588,믹스드 패턴 라운드 니트 BEIGE,0.0,0,54900,54900,,0,,,40.39,0,low,21.04,2,1,44,https://www.musinsa.com/products/2100588
2026-08-27,인사일런스,2146796,수피마 오버사이즈 후드 파카 BROWN,0.0,0,111600,111600,,0,,,40.39,0,low,21.04,2,1,44,https://www.musinsa.com/products/2146796
2026-08-27,1993스튜디오,2313388,90S 트랙 스웨트셔츠_그레이,0.0,0,59500,59500,,0,,,40.39,0,low,21.04,2,1,44,https://www.musinsa.com/products/2313388
2026-08-27,유니폼브릿지,2383020,cotton fatigue pants regular fit forest,1.57,86568,55300,55300,,0,,,45.0,0,low,20.7,2,1,44,https://www.musinsa.com/products/2383020
2026-08-27,제멋,2507948,에디 오버핏 반팔티셔츠 차콜 KJST2189,0.0,0,21900,21900,,0,,,41.89,0,low,19.59,2,1,44,https://www.musinsa.com/products/2507948
2026-08-27,카네이테이,2584172,POM QUILTED FLAT POUCH (BLACK) / RECYCLED,0.0,0,19900,19900,,0,,,45.0,0,low,20.7,2,1,44,https://www.musinsa.com/products/2584172
2026-08-27,엘무드,2670700,서킷 레이서 자켓 블랙,0.0,0,134200,134200,,0,,,40.37,0,low,21.04,2,1,44,https://www.musinsa.com/products/2670700
2026-08-27,트래블,2703788,3 레이어 써밋 후드 윈드 브레이커 그레이,0.0,0,64500,64500,,0,,,43.74,0,low,21.5,2,1,44,https://www.musinsa.com/products/2703788
2026-08-27,어반드레스,2709484,UNISEX AV OVERSIZED HOODIE - 3COL,0.0,0,51620,51620,,0,,,41.88,0,low,19.59,2,1,44,https://www.musinsa.com/products/2709484
2026-08-27,제멋,2741292,[2PACK] 파일 오버핏 투웨이 후드집업 6종 2PACK KJHD2407,0.0,0,75900,75900,,0,,,41.87,0,low,19.59,2,1,44,https://www.musinsa.com/products/2741292
2026-08-27,카네이테이,2776492,POM QUILTED FLAT POUCH (MUSTARD) / RECYCLED,0.0,0,19900,19900,,0,,,44.99,0,low,20.7,2,1,44,https://www.musinsa.com/products/2776492
2026-08-27,프리즘웍스,2777964,TERRY RINGER TEE _ CARAMEL,0.0,0,27200,27200,,0,,,41.87,0,low,19.59,2,1,44,https://www.musinsa.com/products/2777964
2026-08-27,트래블,2786732,하이커 모어 라이닝 스웨트-팬츠 블랙,0.0,0,35400,35400,,0,,,43.74,0,low,21.5,2,1,44,https://www.musinsa.com/products/2786732
